decision_id,term_id,concept_id,locale,source_concept_key,chosen_wording,sense_and_scope,source_locations,target_locations,authorities_actually_checked,authority_result,rationale,alternatives_considered,uncertainty,precise_review_question,provisional_open_to_correction,decision_record_origin,existing_registry_status
AC-TD-0175,AC-TERM-0175,r012:concept:antichain-partition,id-ID,antichain-partition,partisi antirantai,antichain partitions | register: formal order theory,upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_posets_dilworth.ptx:L66,source/source/s_posets_dilworth.ptx:L66,Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; accepted edition registry and cited translated contexts. No term-specific external Indonesian authority is recorded for this entry.,"No term-specific result from an external Indonesian authority is claimed; acceptance rests on source meaning, scoped usage, and whole-edition consistency.","Retrospective basis: preserve the source concept in the scope 'antichain partitions' and register 'formal order theory', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",No alternative was recorded in the source registry.,moderate; no term-specific external Indonesian source is recorded,"In antichain partitions, does 'partisi antirantai' accurately and naturally express antichain partition, or should 'an expert-proposed alternative' be preferred? Please identify the mathematical sense and an Indonesian field authority if recommending a change.",yes,"retrospective reconstruction from the pre-existing glossary, cited target usage, scope, register, variants, and rejected forms; not a claim about contemporaneous translator motive",language_reviewed
AC-TD-0176,AC-TERM-0176,r012:concept:minimal-element,id-ID,minimal-element,titik minimal,extremal poset elements | register: formal order theory,"upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_posets_dilworth.ptx:L57,75","source/source/s_posets_dilworth.ptx:L55,164,171",Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; accepted edition registry and cited translated contexts. No term-specific external Indonesian authority is recorded for this entry.,"No term-specific result from an external Indonesian authority is claimed; acceptance rests on source meaning, scoped usage, and whole-edition consistency.","Retrospective basis: preserve the source concept in the scope 'extremal poset elements' and register 'formal order theory', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",accepted variants: elemen minimal,moderate; variants or rejected forms require expert preference review,"In extremal poset elements, does 'titik minimal' accurately and naturally express minimal element, or should 'elemen minimal' be preferred? Please identify the mathematical sense and an Indonesian field authority if recommending a change.",yes,"retrospective reconstruction from the pre-existing glossary, cited target usage, scope, register, variants, and rejected forms; not a claim about contemporaneous translator motive",language_reviewed
AC-TD-0177,AC-TERM-0177,r012:concept:maximal-element,id-ID,maximal-element,titik maksimal,extremal poset elements | register: formal order theory,upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_posets_dilworth.ptx (paired upstream module; English literal not reconstructed),"source/source/s_posets_dilworth.ptx:L79,83,164",Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; accepted edition registry and cited translated contexts. No term-specific external Indonesian authority is recorded for this entry.,"No term-specific result from an external Indonesian authority is claimed; acceptance rests on source meaning, scoped usage, and whole-edition consistency.","Retrospective basis: preserve the source concept in the scope 'extremal poset elements' and register 'formal order theory', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",accepted variants: elemen maksimal,moderate; variants or rejected forms require expert preference review,"In extremal poset elements, does 'titik maksimal' accurately and naturally express maximal element, or should 'elemen maksimal' be preferred? Please identify the mathematical sense and an Indonesian field authority if recommending a change.",yes,"retrospective reconstruction from the pre-existing glossary, cited target usage, scope, register, variants, and rejected forms; not a claim about contemporaneous translator motive",language_reviewed
AC-TD-0178,AC-TERM-0178,r012:concept:maximal-chain,id-ID,maximal-chain,rantai maksimal,chain extremality | register: formal order theory,upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_posets_dilworth.ptx:L95,"source/source/s_posets_dilworth.ptx:L95,97,145,171",Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; accepted edition registry and cited translated contexts. No term-specific external Indonesian authority is recorded for this entry.,"No term-specific result from an external Indonesian authority is claimed; acceptance rests on source meaning, scoped usage, and whole-edition consistency.","Retrospective basis: preserve the source concept in the scope 'chain extremality' and register 'formal order theory', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",No alternative was recorded in the source registry.,moderate; no term-specific external Indonesian source is recorded,"In chain extremality, does 'rantai maksimal' accurately and naturally express maximal chain, or should 'an expert-proposed alternative' be preferred? Please identify the mathematical sense and an Indonesian field authority if recommending a change.",yes,"retrospective reconstruction from the pre-existing glossary, cited target usage, scope, register, variants, and rejected forms; not a claim about contemporaneous translator motive",language_reviewed
AC-TD-0179,AC-TERM-0179,r012:concept:maximum-chain,id-ID,maximum-chain,rantai terbesar,chain extremality | register: formal order theory,"upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_posets_dilworth.ptx:L45,95,107","source/source/s_posets_dilworth.ptx:L45,95,97,107",Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; accepted edition registry and cited translated contexts. No term-specific external Indonesian authority is recorded for this entry.,"No term-specific result from an external Indonesian authority is claimed; acceptance rests on source meaning, scoped usage, and whole-edition consistency.","Retrospective basis: preserve the source concept in the scope 'chain extremality' and register 'formal order theory', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",accepted variants: rantai maksimum,moderate; variants or rejected forms require expert preference review,"In chain extremality, does 'rantai terbesar' accurately and naturally express maximum chain, or should 'rantai maksimum' be preferred? Please identify the mathematical sense and an Indonesian field authority if recommending a change.",yes,"retrospective reconstruction from the pre-existing glossary, cited target usage, scope, register, variants, and rejected forms; not a claim about contemporaneous translator motive",language_reviewed
AC-TD-0180,AC-TERM-0180,r012:concept:down-set,id-ID,down-set,himpunan bawah,order ideals | register: formal order theory,"upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_posets_dilworth.ptx:L130,132,139","source/source/s_posets_dilworth.ptx:L130,132,139",Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; accepted edition registry and cited translated contexts. No term-specific external Indonesian authority is recorded for this entry.,"No term-specific result from an external Indonesian authority is claimed; acceptance rests on source meaning, scoped usage, and whole-edition consistency.","Retrospective basis: preserve the source concept in the scope 'order ideals' and register 'formal order theory', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",accepted variants: down set,moderate; variants or rejected forms require expert preference review,"In order ideals, does 'himpunan bawah' accurately and naturally express down set, or should 'down set' be preferred? Please identify the mathematical sense and an Indonesian field authority if recommending a change.",yes,"retrospective reconstruction from the pre-existing glossary, cited target usage, scope, register, variants, and rejected forms; not a claim about contemporaneous translator motive",language_reviewed
AC-TD-0181,AC-TERM-0181,r012:concept:up-set,id-ID,up-set,himpunan atas,order filters | register: formal order theory,"upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_posets_dilworth.ptx:L131,134,144","source/source/s_posets_dilworth.ptx:L131,134,144",Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; accepted edition registry and cited translated contexts. No term-specific external Indonesian authority is recorded for this entry.,"No term-specific result from an external Indonesian authority is claimed; acceptance rests on source meaning, scoped usage, and whole-edition consistency.","Retrospective basis: preserve the source concept in the scope 'order filters' and register 'formal order theory', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",accepted variants: up set,moderate; variants or rejected forms require expert preference review,"In order filters, does 'himpunan atas' accurately and naturally express up set, or should 'up set' be preferred? Please identify the mathematical sense and an Indonesian field authority if recommending a change.",yes,"retrospective reconstruction from the pre-existing glossary, cited target usage, scope, register, variants, and rejected forms; not a claim about contemporaneous translator motive",language_reviewed
AC-TD-0182,AC-TERM-0182,r012:concept:eulerian-trail,id-ID,eulerian-trail,jejak Euler,Eulerian graph traversal | register: formal graph theory,upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_graphs_exercises.ptx:L200,source/source/s_graphs_exercises.ptx:L200,Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; accepted edition registry and cited translated contexts. No term-specific external Indonesian authority is recorded for this entry.,"No term-specific result from an external Indonesian authority is claimed; acceptance rests on source meaning, scoped usage, and whole-edition consistency.","Retrospective basis: preserve the source concept in the scope 'Eulerian graph traversal' and register 'formal graph theory', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",accepted variants: lintasan Euler,moderate; variants or rejected forms require expert preference review,"In Eulerian graph traversal, does 'jejak Euler' accurately and naturally express eulerian trail, or should 'lintasan Euler' be preferred? Please identify the mathematical sense and an Indonesian field authority if recommending a change.",yes,"retrospective reconstruction from the pre-existing glossary, cited target usage, scope, register, variants, and rejected forms; not a claim about contemporaneous translator motive",language_reviewed
AC-TD-0183,AC-TERM-0183,r012:concept:graph-girth,id-ID,graph-girth,girth,cycle structure | register: formal graph theory,upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_graphs_exercises.ptx (paired upstream module; English literal not reconstructed) | upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_ramsey_girth.ptx (paired upstream module; English literal not reconstructed),"source/source/s_graphs_exercises.ptx:L335 | source/source/s_ramsey_girth.ptx:L1,6,9,12,14,17",Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; accepted edition registry and cited translated contexts. No term-specific external Indonesian authority is recorded for this entry.,"No term-specific result from an external Indonesian authority is claimed; acceptance rests on source meaning, scoped usage, and whole-edition consistency.","Retrospective basis: preserve the source concept in the scope 'cycle structure' and register 'formal graph theory', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",accepted variants: panjang siklus terpendek,moderate; variants or rejected forms require expert preference review,"In cycle structure, does 'girth' accurately and naturally express graph girth, or should 'panjang siklus terpendek' be preferred? Please identify the mathematical sense and an Indonesian field authority if recommending a change.",yes,"retrospective reconstruction from the pre-existing glossary, cited target usage, scope, register, variants, and rejected forms; not a claim about contemporaneous translator motive",language_reviewed
AC-TD-0184,AC-TERM-0184,r012:concept:degree-sequence,id-ID,degree-sequence,barisan derajat,graph degree data | register: formal graph theory,"upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_graphs_exercises.ptx:L580,582,583,584,585,586,607,617 (+2 more)","source/source/s_graphs_exercises.ptx:L580,582,583,584,585,586,607,610 (+3 more)",Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; accepted edition registry and cited translated contexts. No term-specific external Indonesian authority is recorded for this entry.,"No term-specific result from an external Indonesian authority is claimed; acceptance rests on source meaning, scoped usage, and whole-edition consistency.","Retrospective basis: preserve the source concept in the scope 'graph degree data' and register 'formal graph theory', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",No alternative was recorded in the source registry.,moderate; no term-specific external Indonesian source is recorded,"In graph degree data, does 'barisan derajat' accurately and naturally express degree sequence, or should 'an expert-proposed alternative' be preferred? Please identify the mathematical sense and an Indonesian field authority if recommending a change.",yes,"retrospective reconstruction from the pre-existing glossary, cited target usage, scope, register, variants, and rejected forms; not a claim about contemporaneous translator motive",language_reviewed
AC-TD-0185,AC-TERM-0185,r012:concept:maximum-degree,id-ID,maximum-degree,derajat maksimum,graph degree data | register: formal graph theory,upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_graphs_exercises.ptx:L874,source/source/s_graphs_exercises.ptx:L874,Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; accepted edition registry and cited translated contexts. No term-specific external Indonesian authority is recorded for this entry.,"No term-specific result from an external Indonesian authority is claimed; acceptance rests on source meaning, scoped usage, and whole-edition consistency.","Retrospective basis: preserve the source concept in the scope 'graph degree data' and register 'formal graph theory', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",accepted variants: derajat terbesar,moderate; variants or rejected forms require expert preference review,"In graph degree data, does 'derajat maksimum' accurately and naturally express maximum degree, or should 'derajat terbesar' be preferred? Please identify the mathematical sense and an Indonesian field authority if recommending a change.",yes,"retrospective reconstruction from the pre-existing glossary, cited target usage, scope, register, variants, and rejected forms; not a claim about contemporaneous translator motive",language_reviewed
AC-TD-0186,AC-TERM-0186,r012:concept:brooks-theorem,id-ID,brooks-theorem,Teorema Brooks,graph coloring theorem | register: formal graph theory,upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_graphs_exercises.ptx (paired upstream module; English literal not reconstructed),source/source/s_graphs_exercises.ptx:L874,Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; accepted edition registry and cited translated contexts. No term-specific external Indonesian authority is recorded for this entry.,"No term-specific result from an external Indonesian authority is claimed; acceptance rests on source meaning, scoped usage, and whole-edition consistency.","Retrospective basis: preserve the source concept in the scope 'graph coloring theorem' and register 'formal graph theory', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",No alternative was recorded in the source registry.,moderate; no term-specific external Indonesian source is recorded,"In graph coloring theorem, does 'Teorema Brooks' accurately and naturally express brooks theorem, or should 'an expert-proposed alternative' be preferred? Please identify the mathematical sense and an Indonesian field authority if recommending a change.",yes,"retrospective reconstruction from the pre-existing glossary, cited target usage, scope, register, variants, and rejected forms; not a claim about contemporaneous translator motive",language_reviewed
AC-TD-0187,AC-TERM-0187,r012:concept:partial-order,id-ID,partial-order,urutan parsial,order relation | register: formal order theory,"upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_posets_intro.ptx:L11,29,33,38,42,107,120,121 (+2 more) | upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_kitchensink_zero-one-matrices.ptx:L18,25 | upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_background_order.ptx:L2,14,17,20,27","source/source/s_posets_intro.ptx:L11,29,33,38,42,106,119,120 (+2 more) | source/source/s_kitchensink_zero-one-matrices.ptx:L18,25 | source/source/s_background_order.ptx:L2,14,17,20,27",Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; accepted edition registry and cited translated contexts. No term-specific external Indonesian authority is recorded for this entry.,"No term-specific result from an external Indonesian authority is claimed; acceptance rests on source meaning, scoped usage, and whole-edition consistency.","Retrospective basis: preserve the source concept in the scope 'order relation' and register 'formal order theory', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",accepted variants: relasi urutan parsial,moderate; variants or rejected forms require expert preference review,"In order relation, does 'urutan parsial' accurately and naturally express partial order, or should 'relasi urutan parsial' be preferred? Please identify the mathematical sense and an Indonesian field authority if recommending a change.",yes,"retrospective reconstruction from the pre-existing glossary, cited target usage, scope, register, variants, and rejected forms; not a claim about contemporaneous translator motive",language_reviewed
AC-TD-0188,AC-TERM-0188,r012:concept:ground-set,id-ID,ground-set,himpunan dasar,underlying set of a poset | register: formal order theory,"upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_posets_intro.ptx:L9,10,14,15,64,86,103,121 (+1 more)","source/source/s_posets_intro.ptx:L9,10,14,15,63,85,102,120 (+1 more)",Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; accepted edition registry and cited translated contexts. No term-specific external Indonesian authority is recorded for this entry.,"No term-specific result from an external Indonesian authority is claimed; acceptance rests on source meaning, scoped usage, and whole-edition consistency.","Retrospective basis: preserve the source concept in the scope 'underlying set of a poset' and register 'formal order theory', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",accepted variants: himpunan landasan,moderate; variants or rejected forms require expert preference review,"In underlying set of a poset, does 'himpunan dasar' accurately and naturally express ground set, or should 'himpunan landasan' be preferred? Please identify the mathematical sense and an Indonesian field authority if recommending a change.",yes,"retrospective reconstruction from the pre-existing glossary, cited target usage, scope, register, variants, and rejected forms; not a claim about contemporaneous translator motive",language_reviewed
AC-TD-0189,AC-TERM-0189,r012:concept:cover-relation,id-ID,cover-relation,relasi penutup,poset adjacency | register: formal order theory,upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_posets_intro.ptx (paired upstream module; English literal not reconstructed),source/source/s_posets_intro.ptx (registry-cited module; literal anchor not recovered),Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; accepted edition registry and cited translated contexts. No term-specific external Indonesian authority is recorded for this entry.,"No term-specific result from an external Indonesian authority is claimed; acceptance rests on source meaning, scoped usage, and whole-edition consistency.","Retrospective basis: preserve the source concept in the scope 'poset adjacency' and register 'formal order theory', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",accepted variants: relasi tutup,moderate; variants or rejected forms require expert preference review,"In poset adjacency, does 'relasi penutup' accurately and naturally express cover relation, or should 'relasi tutup' be preferred? Please identify the mathematical sense and an Indonesian field authority if recommending a change.",yes,"retrospective reconstruction from the pre-existing glossary, cited target usage, scope, register, variants, and rejected forms; not a claim about contemporaneous translator motive",language_reviewed
AC-TD-0190,AC-TERM-0190,r012:concept:hasse-diagram,id-ID,hasse-diagram,diagram Hasse,poset visualization | register: formal order theory,"upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_posets_intro.ptx:L80,81","source/source/s_posets_intro.ptx:L70,79,80,91,158,185,196",Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; accepted edition registry and cited translated contexts. No term-specific external Indonesian authority is recorded for this entry.,"No term-specific result from an external Indonesian authority is claimed; acceptance rests on source meaning, scoped usage, and whole-edition consistency.","Retrospective basis: preserve the source concept in the scope 'poset visualization' and register 'formal order theory', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",No alternative was recorded in the source registry.,moderate; no term-specific external Indonesian source is recorded,"In poset visualization, does 'diagram Hasse' accurately and naturally express hasse diagram, or should 'an expert-proposed alternative' be preferred? Please identify the mathematical sense and an Indonesian field authority if recommending a change.",yes,"retrospective reconstruction from the pre-existing glossary, cited target usage, scope, register, variants, and rejected forms; not a claim about contemporaneous translator motive",language_reviewed
AC-TD-0191,AC-TERM-0191,r012:concept:total-order,id-ID,total-order,urutan total,linear ordering | register: formal order theory,"upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_posets_intro.ptx:L107,118 | upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_background_order.ptx:L2,20,24","source/source/s_posets_intro.ptx:L106,117 | source/source/s_background_order.ptx:L2,20,24",Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; accepted edition registry and cited translated contexts. No term-specific external Indonesian authority is recorded for this entry.,"No term-specific result from an external Indonesian authority is claimed; acceptance rests on source meaning, scoped usage, and whole-edition consistency.","Retrospective basis: preserve the source concept in the scope 'linear ordering' and register 'formal order theory', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",No alternative was recorded in the source registry.,moderate; no term-specific external Indonesian source is recorded,"In linear ordering, does 'urutan total' accurately and naturally express total order, or should 'an expert-proposed alternative' be preferred? Please identify the mathematical sense and an Indonesian field authority if recommending a change.",yes,"retrospective reconstruction from the pre-existing glossary, cited target usage, scope, register, variants, and rejected forms; not a claim about contemporaneous translator motive",language_reviewed
AC-TD-0192,AC-TERM-0192,r012:concept:linear-order,id-ID,linear-order,urutan linear,linear ordering | register: formal order theory,"upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_posets_intro.ptx:L110,114,115,120,144,204 | upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_networkflow_labeling-algorithm.ptx:L3,40","source/source/s_posets_intro.ptx:L109,113,114,119,143,152,203 | source/source/s_networkflow_labeling-algorithm.ptx:L3,40",Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; accepted edition registry and cited translated contexts. No term-specific external Indonesian authority is recorded for this entry.,"No term-specific result from an external Indonesian authority is claimed; acceptance rests on source meaning, scoped usage, and whole-edition consistency.","Retrospective basis: preserve the source concept in the scope 'linear ordering' and register 'formal order theory', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",No alternative was recorded in the source registry.,moderate; no term-specific external Indonesian source is recorded,"In linear ordering, does 'urutan linear' accurately and naturally express linear order, or should 'an expert-proposed alternative' be preferred? Please identify the mathematical sense and an Indonesian field authority if recommending a change.",yes,"retrospective reconstruction from the pre-existing glossary, cited target usage, scope, register, variants, and rejected forms; not a claim about contemporaneous translator motive",language_reviewed
AC-TD-0193,AC-TERM-0193,r012:concept:linked-list,id-ID,linked-list,senarai berantai,data structures | register: formal computer science,upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_posets_intro.ptx:L105,source/source/s_posets_intro.ptx:L104,Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; accepted edition registry and cited translated contexts. No term-specific external Indonesian authority is recorded for this entry.,"No term-specific result from an external Indonesian authority is claimed; acceptance rests on source meaning, scoped usage, and whole-edition consistency.","Retrospective basis: preserve the source concept in the scope 'data structures' and register 'formal computer science', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",accepted variants: daftar berantai,moderate; variants or rejected forms require expert preference review,"In data structures, does 'senarai berantai' accurately and naturally express linked list, or should 'daftar berantai' be preferred? Please identify the mathematical sense and an Indonesian field authority if recommending a change.",yes,"retrospective reconstruction from the pre-existing glossary, cited target usage, scope, register, variants, and rejected forms; not a claim about contemporaneous translator motive",language_reviewed
AC-TD-0194,AC-TERM-0194,r012:concept:poset-comparability,id-ID,poset-comparability,dapat dibandingkan,comparison in a poset | register: formal order theory,upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_posets_intro.ptx (paired upstream module; English literal not reconstructed),"source/source/s_posets_intro.ptx:L122,161,162,164,165,166,171,180 (+4 more)",Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; accepted edition registry and cited translated contexts. No term-specific external Indonesian authority is recorded for this entry.,"No term-specific result from an external Indonesian authority is claimed; acceptance rests on source meaning, scoped usage, and whole-edition consistency.","Retrospective basis: preserve the source concept in the scope 'comparison in a poset' and register 'formal order theory', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",accepted variants: terbanding; rejected or scope-inappropriate forms: komparabel,moderate; variants or rejected forms require expert preference review,"In comparison in a poset, does 'dapat dibandingkan' accurately and naturally express poset comparability, or should 'terbanding' be preferred? Please identify the mathematical sense and an Indonesian field authority if recommending a change.",yes,"retrospective reconstruction from the pre-existing glossary, cited target usage, scope, register, variants, and rejected forms; not a claim about contemporaneous translator motive",language_reviewed
AC-TD-0195,AC-TERM-0195,r012:concept:poset-incomparability,id-ID,poset-incomparability,tidak dapat dibandingkan,comparison in a poset | register: formal order theory,upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_posets_intro.ptx (paired upstream module; English literal not reconstructed),"source/source/s_posets_intro.ptx:L122,164,165,166,171,181,206",Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; accepted edition registry and cited translated contexts. No term-specific external Indonesian authority is recorded for this entry.,"No term-specific result from an external Indonesian authority is claimed; acceptance rests on source meaning, scoped usage, and whole-edition consistency.","Retrospective basis: preserve the source concept in the scope 'comparison in a poset' and register 'formal order theory', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",accepted variants: tak terbanding; rejected or scope-inappropriate forms: inkomparabel,moderate; variants or rejected forms require expert preference review,"In comparison in a poset, does 'tidak dapat dibandingkan' accurately and naturally express poset incomparability, or should 'tak terbanding' be preferred? Please identify the mathematical sense and an Indonesian field authority if recommending a change.",yes,"retrospective reconstruction from the pre-existing glossary, cited target usage, scope, register, variants, and rejected forms; not a claim about contemporaneous translator motive",language_reviewed
AC-TD-0196,AC-TERM-0196,r012:concept:subposet,id-ID,subposet,subposet,induced order on a subset | register: formal order theory,"upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_posets_intro.ptx:L191,192,193,195,196,197","source/source/s_posets_intro.ptx:L190,191,192,194,195,196",Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; accepted edition registry and cited translated contexts. No term-specific external Indonesian authority is recorded for this entry.,"No term-specific result from an external Indonesian authority is claimed; acceptance rests on source meaning, scoped usage, and whole-edition consistency.","Retrospective basis: preserve the source concept in the scope 'induced order on a subset' and register 'formal order theory', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",accepted variants: poset bagian,moderate; variants or rejected forms require expert preference review,"In induced order on a subset, does 'subposet' accurately and naturally express subposet, or should 'poset bagian' be preferred? Please identify the mathematical sense and an Indonesian field authority if recommending a change.",yes,"retrospective reconstruction from the pre-existing glossary, cited target usage, scope, register, variants, and rejected forms; not a claim about contemporaneous translator motive",language_reviewed
AC-TD-0197,AC-TERM-0197,r012:concept:poset-chain,id-ID,poset-chain,rantai,pairwise comparable subset | register: formal order theory,upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_posets_intro.ptx (paired upstream module; English literal not reconstructed),"source/source/s_posets_intro.ptx:L104,158,200,201,203,204,205,207 (+6 more)",Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; accepted edition registry and cited translated contexts. No term-specific external Indonesian authority is recorded for this entry.,"No term-specific result from an external Indonesian authority is claimed; acceptance rests on source meaning, scoped usage, and whole-edition consistency.","Retrospective basis: preserve the source concept in the scope 'pairwise comparable subset' and register 'formal order theory', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",No alternative was recorded in the source registry.,moderate; no term-specific external Indonesian source is recorded,"In pairwise comparable subset, does 'rantai' accurately and naturally express poset chain, or should 'an expert-proposed alternative' be preferred? Please identify the mathematical sense and an Indonesian field authority if recommending a change.",yes,"retrospective reconstruction from the pre-existing glossary, cited target usage, scope, register, variants, and rejected forms; not a claim about contemporaneous translator motive",language_reviewed
AC-TD-0198,AC-TERM-0198,r012:concept:poset-antichain,id-ID,poset-antichain,antirantai,pairwise incomparable subset | register: formal order theory,upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_posets_intro.ptx (paired upstream module; English literal not reconstructed) | upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_flowapplications_chain-partition.ptx (paired upstream module; English literal not reconstructed) | upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_flowapplications_exercises.ptx (paired upstream module; English literal not reconstructed) | upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_kitchensink_online.ptx (paired upstream module; English literal not reconstructed),"source/source/s_posets_intro.ptx:L158,204,205,207,208,225,229,253 | source/source/s_flowapplications_chain-partition.ptx:L3,38,90,96,100 | source/source/s_flowapplications_exercises.ptx:L81,86,112 | source/source/s_kitchensink_online.ptx:L54,58,60,77,86,88,96,99 (+2 more)",Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; accepted edition registry and cited translated contexts. No term-specific external Indonesian authority is recorded for this entry.,"No term-specific result from an external Indonesian authority is claimed; acceptance rests on source meaning, scoped usage, and whole-edition consistency.","Retrospective basis: preserve the source concept in the scope 'pairwise incomparable subset' and register 'formal order theory', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",rejected or scope-inappropriate forms: anti-rantai,moderate; variants or rejected forms require expert preference review,"In pairwise incomparable subset, does 'antirantai' accurately and naturally express poset antichain, or should 'anti-rantai' be preferred? Please identify the mathematical sense and an Indonesian field authority if recommending a change.",yes,"retrospective reconstruction from the pre-existing glossary, cited target usage, scope, register, variants, and rejected forms; not a claim about contemporaneous translator motive",language_reviewed
